iter	RMSE
0	9.456931174
1	9.407412902
2	9.360069948
3	9.309995242
4	9.260523078
5	9.212396353
6	9.166883195
7	9.12109674
8	9.074854923
9	9.026872793
10	8.979546278
11	8.93218841
12	8.887029531
13	8.840616914
14	8.794282253
15	8.748261999
16	8.704362007
17	8.659359399
18	8.616087496
19	8.572878836
20	8.527464701
21	8.484582382
22	8.44299275
23	8.39989998
24	8.357154493
25	8.315429737
26	8.272999859
27	8.228956772
28	8.185893236
29	8.14793133
30	8.105673251
31	8.063594755
32	8.021717076
33	7.982994023
34	7.942764055
35	7.901646855
36	7.862099062
37	7.821682367
38	7.78212334
39	7.743352655
40	7.705039684
41	7.66637283
42	7.629485055
43	7.592218667
44	7.553358324
45	7.518435875
46	7.480867434
47	7.442411373
48	7.406196485
49	7.369401319
50	7.333768516
51	7.298245945
52	7.261614222
53	7.227538451
54	7.190917939
55	7.158952297
56	7.127227854
57	7.091073517
58	7.058036535
59	7.023818398
60	6.989097552
61	6.955313776
62	6.921115795
63	6.887905617
64	6.854043501
65	6.8191358
66	6.785205519
67	6.75136676
68	6.716939883
69	6.684276264
70	6.650794134
71	6.616802729
72	6.583428017
73	6.549250381
74	6.517030032
75	6.487863206
76	6.456415987
77	6.423198978
78	6.392284744
79	6.362684703
80	6.331540998
81	6.299431142
82	6.27064642
83	6.24066993
84	6.210650224
85	6.180662971
86	6.150424513
87	6.121503138
88	6.091851985
89	6.061509782
90	6.032577644
91	6.00329651
92	5.978437009
93	5.950978944
94	5.92388958
95	5.89491531
96	5.867512112
97	5.840783029
98	5.811072351
99	5.782199516
100	5.754004142
101	5.728622113
102	5.702496066
103	5.675609603
104	5.648030639
105	5.621307955
106	5.598740257
107	5.573575019
108	5.547761044
109	5.522296467
110	5.500365839
111	5.474520384
112	5.448856254
113	5.423019048
114	5.39683344
115	5.371934465
116	5.346711303
117	5.322618114
118	5.299458561
119	5.27431051
120	5.249705348
121	5.226169865
122	5.203015923
123	5.180523735
124	5.15700247
125	5.134286035
126	5.112296296
127	5.088483021
128	5.064543002
129	5.041561084
130	5.018267173
131	4.996585872
132	4.97292864
133	4.949841862
134	4.930245647
135	4.908245665
136	4.887393852
137	4.865027407
138	4.842909934
139	4.822321293
140	4.801770656
141	4.780402284
142	4.759449398
143	4.737333011
144	4.716859862
145	4.696648706
146	4.674649741
147	4.657065008
148	4.637465246
149	4.616989365
150	4.597405677
151	4.577663828
152	4.558400927
153	4.538372084
154	4.518020224
155	4.498068158
156	4.477632436
157	4.45848496
158	4.442923017
159	4.424662466
160	4.405820893
161	4.38673071
162	4.368242859
163	4.351104555
164	4.331805137
165	4.313405995
166	4.294972641
167	4.275675994
168	4.256901709
169	4.237744667
170	4.221077019
171	4.20285312
172	4.185488868
173	4.167615664
174	4.149324947
175	4.132534482
176	4.114932767
177	4.097816156
178	4.079528368
179	4.066199368
180	4.048363439
181	4.032778654
182	4.017644932
183	4.000528916
184	3.984149789
185	3.966840199
186	3.952360294
187	3.936734389
188	3.91929499
189	3.903043487
190	3.886903994
191	3.872974884
192	3.857057608
193	3.842464274
194	3.828365994
195	3.814471096
196	3.799075133
197	3.78489512
198	3.769074702
199	3.753514279
200	3.737979368
201	3.723056979
202	3.709831984
203	3.695692773
204	3.682289663
205	3.66792832
206	3.65332034
207	3.638992255
208	3.626639112
209	3.612003479
210	3.598303845
211	3.585598373
212	3.571689682
213	3.558263987
214	3.545343697
215	3.531794592
216	3.517703409
217	3.505378106
218	3.491616888
219	3.478537403
220	3.465820433
221	3.453070025
222	3.440887948
223	3.427476444
224	3.415595672
225	3.403728133
226	3.391046012
227	3.377943188
228	3.365121423
229	3.352891049
230	3.341067891
231	3.329569181
232	3.316269622
233	3.305404895
234	3.2946616
235	3.283429702
236	3.271827117
237	3.260563162
238	3.249508033
239	3.238635688
240	3.227525857
241	3.216468233
242	3.205282155
243	3.193981535
244	3.182343789
245	3.172108974
246	3.16055865
247	3.150319453
248	3.139409623
249	3.128966932
250	3.118123521
251	3.107379499
252	3.096848955
253	3.086555345
254	3.076551425
255	3.066847785
256	3.057196226
257	3.047463629
258	3.036996349
259	3.027826979
260	3.017949408
261	3.008659954
262	2.99930067
263	2.988991854
264	2.978745644
265	2.969702536
266	2.958991873
267	2.94873368
268	2.939374822
269	2.930035778
270	2.920670359
271	2.910794683
272	2.901928374
273	2.892685716
274	2.884709522
275	2.875610308
276	2.866223922
277	2.857893236
278	2.849820113
279	2.840953547
280	2.831896852
281	2.823793448
282	2.815171235
283	2.806608214
284	2.799503433
285	2.791933834
286	2.785284776
287	2.776873019
288	2.768027937
289	2.759614204
290	2.75244491
291	2.744197945
292	2.736806297
293	2.72865591
294	2.720782309
295	2.713572065
296	2.706082271
297	2.698064492
298	2.690297014
299	2.682650789
300	2.675664187
301	2.668593179
302	2.660778339
303	2.65373275
304	2.646042302
305	2.640472637
306	2.633549661
307	2.625709558
308	2.618547376
309	2.610661017
310	2.603664975
311	2.596760253
312	2.588830864
313	2.584282005
314	2.576960385
315	2.569362619
316	2.562366973
317	2.555760301
318	2.548238733
319	2.540923628
320	2.534135963
321	2.5272361
322	2.521233837
323	2.513927052
324	2.507646004
325	2.502264696
326	2.495315551
327	2.489282312
328	2.481907325
329	2.475041336
330	2.468837069
331	2.46257869
332	2.455813336
333	2.449456706
334	2.443458484
335	2.437760644
336	2.432259402
337	2.427202842
338	2.421084789
339	2.415832488
340	2.409854568
341	2.404954112
342	2.399056991
343	2.393056362
344	2.38792444
345	2.382218688
346	2.376287153
347	2.371332249
348	2.365858638
349	2.36022862
350	2.354469323
351	2.348797571
352	2.343481453
353	2.337945478
354	2.332796687
355	2.327530781
356	2.324436997
357	2.318618845
358	2.313850029
359	2.309120721
360	2.303705998
361	2.298475768
362	2.292979944
363	2.288834122
364	2.283734373
365	2.279301483
366	2.274463655
367	2.268954097
368	2.263942987
369	2.258567576
370	2.253523686
371	2.24941665
372	2.245114984
373	2.240997174
374	2.236462914
375	2.232189418
376	2.227499896
377	2.223879003
378	2.220758278
379	2.216708287
380	2.211973084
381	2.2080385
382	2.204011167
383	2.198814473
384	2.194862613
385	2.190929968
386	2.186407397
387	2.181579761
388	2.177545653
389	2.172958995
390	2.169819249
391	2.165661982
392	2.1613257
393	2.157404107
394	2.153624389
395	2.14840315
396	2.144656916
397	2.141337918
398	2.137140193
399	2.132885214
400	2.128826695
401	2.123971488
402	2.119876531
403	2.115341794
404	2.111549015
405	2.106946597
406	2.103682976
407	2.099972627
408	2.096704635
409	2.093018291
410	2.089698587
411	2.086569953
412	2.082526636
413	2.07885788
414	2.07534333
415	2.072175554
416	2.06866648
417	2.064977103
418	2.062737833
419	2.058763533
420	2.056816059
421	2.054658468
422	2.051384937
423	2.048168056
424	2.04420723
425	2.040808806
426	2.037126551
427	2.032448333
428	2.028687955
429	2.024831564
430	2.021929985
431	2.018353431
432	2.015406794
433	2.01194051
434	2.00870073
435	2.006444396
436	2.003571655
437	2.000844323
438	1.997447038
439	1.994437726
440	1.991920846
441	1.988088588
442	1.984993161
443	1.982077183
444	1.979153128
445	1.974887979
446	1.972004304
447	1.969261501
448	1.966652344
449	1.963768425
450	1.959904899
451	1.957909844
452	1.954898241
453	1.952502455
454	1.950276206
455	1.947022298
456	1.944284866
457	1.941225229
458	1.938927884
459	1.936228408
460	1.934126545
461	1.932456617
462	1.930072724
463	1.927723878
464	1.925523002
465	1.923539079
466	1.921147998
467	1.918791452
468	1.91615888
469	1.913155967
470	1.910911726
471	1.908123758
472	1.905780756
473	1.90292824
474	1.900246007
475	1.897817151
476	1.894981934
477	1.892337905
478	1.889630411
479	1.887525895
480	1.884892287
481	1.882627355
482	1.880272573
483	1.878333126
484	1.876113947
485	1.872631182
486	1.870843914
487	1.868998107
488	1.867491927
489	1.866271255
490	1.86407417
491	1.862789973
492	1.859432919
493	1.857298783
494	1.853423345
495	1.851215321
496	1.84860233
497	1.846007312
498	1.842255215
499	1.840388584
500	1.837993117
501	1.836165679
502	1.833620808
503	1.831437964
504	1.829777769
505	1.828475815
506	1.826416654
507	1.823716459
508	1.821800996
509	1.819672568
510	1.818487351
511	1.816749135
512	1.814930459
513	1.812915441
514	1.811175182
515	1.80946127
516	1.807824059
517	1.805856139
518	1.80440375
519	1.802726055
520	1.799536073
521	1.797858044
522	1.796131999
523	1.793804405
524	1.792271972
525	1.791375842
526	1.789330086
527	1.787247564
528	1.785938128
529	1.784053615
530	1.782290365
531	1.778912865
532	1.777338278
533	1.775779134
534	1.772189307
535	1.770681323
536	1.766949931
537	1.765497223
538	1.762971715
539	1.760812359
540	1.759116045
541	1.756898699
542	1.754420358
543	1.753080381
544	1.751546707
545	1.749314468
546	1.748528446
547	1.747724279
548	1.746217691
549	1.744613373
550	1.742667593
551	1.741241517
552	1.739770947
553	1.737826142
554	1.736261059
555	1.734494141
556	1.73296526
557	1.731345772
558	1.729914725
559	1.72853611
560	1.726334199
561	1.724583399
562	1.722586162
563	1.721368126
564	1.719336275
565	1.717058725
566	1.715739896
567	1.714226626
568	1.712967057
569	1.711125804
570	1.709169043
571	1.708408588
572	1.707280825
573	1.706140627
574	1.705659111
575	1.704536902
576	1.703268328
577	1.701569197
578	1.700304539
579	1.698876735
580	1.698011455
581	1.695254593
582	1.694211483
583	1.693117733
584	1.69202835
585	1.690881377
586	1.688203575
587	1.687050357
588	1.685920386
589	1.683555963
590	1.681964296
591	1.680519881
592	1.678526398
593	1.677746014
594	1.676567894
595	1.675209463
596	1.673466304
597	1.672252244
598	1.671167641
599	1.669853526
600	1.66630313
601	1.663412616
602	1.66181472
603	1.660030297
