iter	Passed	Remaining
0	1	10739
1	1	8482
2	2	8597
3	3	8488
4	3	7716
5	4	7021
6	5	7207
7	5	7340
8	6	7434
9	7	7467
10	8	7549
11	9	7617
12	10	7691
13	10	7559
14	11	7356
15	11	7288
16	12	7327
17	13	7378
18	14	7443
19	15	7491
20	15	7526
21	16	7456
22	17	7491
23	17	7329
24	18	7364
25	19	7399
26	19	7296
27	20	7247
28	20	7155
29	21	7008
30	21	6935
31	22	6964
32	23	7004
33	23	6932
34	24	6977
35	25	7016
36	25	6950
37	26	6985
38	27	6955
39	28	6981
40	28	7021
41	29	6965
42	30	7008
43	31	7035
44	31	7068
45	32	7041
46	33	7074
47	34	7095
48	34	7044
49	35	6988
50	35	6972
51	36	7000
52	37	6955
53	37	6983
54	38	7007
55	39	6929
56	39	6855
57	39	6842
58	40	6781
59	40	6722
60	41	6681
61	41	6712
62	42	6696
63	43	6717
64	44	6747
65	44	6734
66	45	6751
67	46	6734
68	46	6751
69	47	6716
70	48	6738
71	49	6761
72	49	6783
73	50	6805
74	51	6824
75	51	6779
76	52	6801
77	53	6833
78	54	6792
79	54	6807
80	55	6800
81	56	6819
82	57	6810
83	57	6825
84	58	6842
85	59	6834
86	60	6852
87	60	6826
88	61	6799
89	61	6814
90	62	6802
91	63	6817
92	63	6772
93	64	6791
94	64	6769
95	65	6786
96	66	6802
97	67	6777
98	67	6795
99	68	6792
100	69	6810
101	70	6822
102	71	6830
103	71	6805
104	72	6818
105	73	6828
106	73	6788
107	74	6799
108	74	6768
109	75	6781
110	75	6748
111	76	6760
112	77	6773
113	78	6788
114	79	6798
115	79	6792
116	80	6801
117	81	6795
118	82	6813
119	82	6813
120	83	6827
121	84	6819
122	85	6826
123	85	6835
124	86	6828
125	87	6837
126	87	6831
127	88	6842
128	89	6854
129	90	6869
130	91	6881
131	91	6874
132	92	6884
133	93	6895
134	94	6875
135	94	6888
136	95	6865
137	96	6873
138	97	6882
139	97	6876
140	98	6886
141	99	6895
142	100	6905
143	101	6916
144	101	6911
145	102	6921
146	103	6928
147	103	6902
148	104	6880
149	104	6885
150	105	6895
151	106	6900
152	107	6894
153	107	6888
154	108	6898
155	109	6907
156	110	6913
157	110	6898
158	111	6871
159	111	6877
160	112	6872
161	113	6878
162	114	6886
163	114	6895
164	115	6905
165	116	6889
166	116	6882
167	117	6888
168	118	6897
169	119	6904
170	119	6882
171	120	6892
172	121	6901
173	122	6909
174	123	6914
175	123	6899
176	124	6904
177	125	6911
178	126	6918
179	126	6896
180	127	6908
181	127	6896
182	128	6905
183	129	6914
184	130	6919
185	131	6925
186	132	6933
187	132	6941
188	133	6949
189	134	6953
190	135	6959
191	136	6966
192	137	6973
193	138	6978
194	138	6983
195	139	6991
196	140	6997
197	141	7002
198	142	7010
199	143	7015
200	144	7022
201	144	7027
202	145	7010
203	146	7015
204	146	7021
205	147	7025
206	148	7031
207	149	7037
208	149	7019
209	150	7024
210	151	7028
211	151	7016
212	152	7021
213	153	7027
214	154	7021
215	155	7028
216	156	7036
217	156	7040
218	157	7045
219	158	7052
220	159	7057
221	160	7061
222	161	7067
223	162	7071
224	162	7075
225	163	7079
226	164	7084
227	165	7091
228	166	7096
229	167	7101
230	167	7088
231	168	7092
232	169	7094
233	169	7083
234	170	7090
235	171	7081
236	172	7087
237	172	7093
238	173	7099
239	174	7105
240	175	7112
241	176	7119
242	177	7128
243	178	7136
244	179	7142
245	180	7148
246	181	7153
247	181	7148
248	182	7153
249	183	7159
250	184	7165
251	185	7169
252	185	7165
253	186	7161
254	187	7165
255	188	7162
256	188	7159
257	189	7164
258	190	7170
259	191	7157
260	191	7162
261	192	7166
262	193	7162
263	194	7166
264	195	7170
265	196	7173
266	196	7176
267	197	7181
268	198	7183
269	199	7186
270	200	7189
271	201	7192
272	201	7196
273	202	7199
274	203	7203
275	204	7208
276	205	7211
277	206	7215
278	206	7205
279	207	7200
280	208	7203
281	209	7205
282	209	7209
283	210	7213
284	211	7200
285	211	7189
286	212	7176
287	212	7178
288	213	7181
289	214	7183
290	215	7186
291	216	7190
292	216	7187
293	217	7191
294	218	7194
295	219	7197
296	220	7201
297	221	7204
298	222	7207
299	222	7209
300	223	7212
301	224	7214
302	225	7215
303	226	7216
304	227	7219
305	227	7222
306	228	7225
307	229	7228
308	230	7230
309	231	7233
310	231	7227
311	232	7221
312	233	7224
313	233	7209
314	234	7212
315	235	7213
316	236	7215
317	237	7216
318	237	7218
319	238	7220
320	239	7222
321	240	7225
322	241	7228
323	242	7231
324	242	7233
325	243	7236
